deviceID	fromDate	toDate	consumption	userID
1454442161-Overall	7/1/2015 0:00	7/1/2015 0:01	165	21
908983910-Overall	7/1/2015 0:00	7/1/2015 0:01	181	22
687157380-Overall	7/1/2015 0:00	7/1/2015 0:01	390	23
1741156914-Overall	7/1/2015 0:00	7/1/2015 0:01	355	24
167203295-Overall	7/1/2015 0:00	7/1/2015 0:01	884	29
331804188-Overall	7/1/2015 0:00	7/1/2015 0:01	336	32
1275104184-Overall	7/1/2015 0:00	7/1/2015 0:01	155	35
77863289-Overall	7/1/2015 0:00	7/1/2015 0:01	89	36
1949724277-Overall	7/1/2015 0:00	7/1/2015 0:01	351	25
1870305884-Overall	7/1/2015 0:00	7/1/2015 0:01	187	28
782435385-Overall	7/1/2015 0:00	7/1/2015 0:01	2449	37
1144586020-Overall	7/1/2015 0:00	7/1/2015 0:01	2222	38
1951210032-Overall	7/1/2015 0:00	7/1/2015 0:01	978	39
1951210032-Overall	7/1/2015 0:01	7/1/2015 0:02	978	39
331804188-Overall	7/1/2015 0:01	7/1/2015 0:02	336	32
167203295-Overall	7/1/2015 0:01	7/1/2015 0:02	890	29
908983910-Overall	7/1/2015 0:01	7/1/2015 0:02	180	22
1454442161-Overall	7/1/2015 0:01	7/1/2015 0:02	172	21
1741156914-Overall	7/1/2015 0:01	7/1/2015 0:02	350	24
687157380-Overall	7/1/2015 0:01	7/1/2015 0:02	426	23
1144586020-Overall	7/1/2015 0:01	7/1/2015 0:02	2197	38
782435385-Overall	7/1/2015 0:01	7/1/2015 0:02	2427	37
77863289-Overall	7/1/2015 0:01	7/1/2015 0:02	89	36
1275104184-Overall	7/1/2015 0:01	7/1/2015 0:02	45	35
1870305884-Overall	7/1/2015 0:01	7/1/2015 0:02	188	28
1949724277-Overall	7/1/2015 0:01	7/1/2015 0:02	325	25
1949724277-Overall	7/1/2015 0:02	7/1/2015 0:03	336	25
1870305884-Overall	7/1/2015 0:02	7/1/2015 0:03	192	28
1454442161-Overall	7/1/2015 0:02	7/1/2015 0:03	171	21
908983910-Overall	7/1/2015 0:02	7/1/2015 0:03	182	22
1951210032-Overall	7/1/2015 0:02	7/1/2015 0:03	886	39
167203295-Overall	7/1/2015 0:02	7/1/2015 0:03	884	29
331804188-Overall	7/1/2015 0:02	7/1/2015 0:03	339	32
1275104184-Overall	7/1/2015 0:02	7/1/2015 0:03	46	35
77863289-Overall	7/1/2015 0:02	7/1/2015 0:03	92	36
687157380-Overall	7/1/2015 0:02	7/1/2015 0:03	421	23
1741156914-Overall	7/1/2015 0:02	7/1/2015 0:03	350	24
782435385-Overall	7/1/2015 0:02	7/1/2015 0:03	2421	37
1144586020-Overall	7/1/2015 0:02	7/1/2015 0:03	2196	38
1144586020-Overall	7/1/2015 0:03	7/1/2015 0:04	2189	38
782435385-Overall	7/1/2015 0:03	7/1/2015 0:04	2422	37
1951210032-Overall	7/1/2015 0:03	7/1/2015 0:04	884	39
1870305884-Overall	7/1/2015 0:03	7/1/2015 0:04	191	28
1949724277-Overall	7/1/2015 0:03	7/1/2015 0:04	322	25
908983910-Overall	7/1/2015 0:03	7/1/2015 0:04	179	22
1454442161-Overall	7/1/2015 0:03	7/1/2015 0:04	183	21
1741156914-Overall	7/1/2015 0:03	7/1/2015 0:04	351	24
687157380-Overall	7/1/2015 0:03	7/1/2015 0:04	420	23
331804188-Overall	7/1/2015 0:03	7/1/2015 0:04	337	32
167203295-Overall	7/1/2015 0:03	7/1/2015 0:04	883	29
77863289-Overall	7/1/2015 0:03	7/1/2015 0:04	88	36
1275104184-Overall	7/1/2015 0:03	7/1/2015 0:04	45	35
1275104184-Overall	7/1/2015 0:04	7/1/2015 0:05	45	35
77863289-Overall	7/1/2015 0:04	7/1/2015 0:05	88	36
1949724277-Overall	7/1/2015 0:04	7/1/2015 0:05	333	25
1870305884-Overall	7/1/2015 0:04	7/1/2015 0:05	191	28
782435385-Overall	7/1/2015 0:04	7/1/2015 0:05	2426	37
1144586020-Overall	7/1/2015 0:04	7/1/2015 0:05	655	38
1951210032-Overall	7/1/2015 0:04	7/1/2015 0:05	928	39
167203295-Overall	7/1/2015 0:04	7/1/2015 0:05	886	29
331804188-Overall	7/1/2015 0:04	7/1/2015 0:05	401	32
1454442161-Overall	7/1/2015 0:04	7/1/2015 0:05	166	21
908983910-Overall	7/1/2015 0:04	7/1/2015 0:05	177	22
687157380-Overall	7/1/2015 0:04	7/1/2015 0:05	380	23
1741156914-Overall	7/1/2015 0:04	7/1/2015 0:05	350	24
1741156914-Overall	7/1/2015 0:05	7/1/2015 0:06	348	24
687157380-Overall	7/1/2015 0:05	7/1/2015 0:06	358	23
1144586020-Overall	7/1/2015 0:05	7/1/2015 0:06	652	38
782435385-Overall	7/1/2015 0:05	7/1/2015 0:06	2430	37
77863289-Overall	7/1/2015 0:05	7/1/2015 0:06	87	36
1275104184-Overall	7/1/2015 0:05	7/1/2015 0:06	45	35
1870305884-Overall	7/1/2015 0:05	7/1/2015 0:06	190	28
1949724277-Overall	7/1/2015 0:05	7/1/2015 0:06	343	25
908983910-Overall	7/1/2015 0:05	7/1/2015 0:06	182	22
1454442161-Overall	7/1/2015 0:05	7/1/2015 0:06	169	21
1951210032-Overall	7/1/2015 0:05	7/1/2015 0:06	992	39
331804188-Overall	7/1/2015 0:05	7/1/2015 0:06	387	32
167203295-Overall	7/1/2015 0:05	7/1/2015 0:06	891	29
167203295-Overall	7/1/2015 0:06	7/1/2015 0:07	889	29
331804188-Overall	7/1/2015 0:06	7/1/2015 0:07	335	32
1275104184-Overall	7/1/2015 0:06	7/1/2015 0:07	45	35
77863289-Overall	7/1/2015 0:06	7/1/2015 0:07	87	36
687157380-Overall	7/1/2015 0:06	7/1/2015 0:07	743	23
1741156914-Overall	7/1/2015 0:06	7/1/2015 0:07	347	24
782435385-Overall	7/1/2015 0:06	7/1/2015 0:07	2415	37
1144586020-Overall	7/1/2015 0:06	7/1/2015 0:07	654	38
1951210032-Overall	7/1/2015 0:06	7/1/2015 0:07	992	39
1949724277-Overall	7/1/2015 0:06	7/1/2015 0:07	340	25
1870305884-Overall	7/1/2015 0:06	7/1/2015 0:07	189	28
1454442161-Overall	7/1/2015 0:06	7/1/2015 0:07	141	21
908983910-Overall	7/1/2015 0:06	7/1/2015 0:07	181	22
908983910-Overall	7/1/2015 0:07	7/1/2015 0:08	82	22
1454442161-Overall	7/1/2015 0:07	7/1/2015 0:08	157	21
1741156914-Overall	7/1/2015 0:07	7/1/2015 0:08	343	24
687157380-Overall	7/1/2015 0:07	7/1/2015 0:08	826	23
331804188-Overall	7/1/2015 0:07	7/1/2015 0:08	334	32
167203295-Overall	7/1/2015 0:07	7/1/2015 0:08	889	29
77863289-Overall	7/1/2015 0:07	7/1/2015 0:08	90	36
1275104184-Overall	7/1/2015 0:07	7/1/2015 0:08	45	35
1870305884-Overall	7/1/2015 0:07	7/1/2015 0:08	187	28
1949724277-Overall	7/1/2015 0:07	7/1/2015 0:08	352	25
1144586020-Overall	7/1/2015 0:07	7/1/2015 0:08	655	38
782435385-Overall	7/1/2015 0:07	7/1/2015 0:08	2395	37
1951210032-Overall	7/1/2015 0:07	7/1/2015 0:08	992	39
1951210032-Overall	7/1/2015 0:08	7/1/2015 0:09	992	39
167203295-Overall	7/1/2015 0:08	7/1/2015 0:09	890	29
331804188-Overall	7/1/2015 0:08	7/1/2015 0:09	336	32
1454442161-Overall	7/1/2015 0:08	7/1/2015 0:09	152	21
908983910-Overall	7/1/2015 0:08	7/1/2015 0:09	59	22
687157380-Overall	7/1/2015 0:08	7/1/2015 0:09	855	23
1741156914-Overall	7/1/2015 0:08	7/1/2015 0:09	345	24
782435385-Overall	7/1/2015 0:08	7/1/2015 0:09	2426	37
1144586020-Overall	7/1/2015 0:08	7/1/2015 0:09	653	38
1275104184-Overall	7/1/2015 0:08	7/1/2015 0:09	44	35
77863289-Overall	7/1/2015 0:08	7/1/2015 0:09	88	36
1949724277-Overall	7/1/2015 0:08	7/1/2015 0:09	332	25
1870305884-Overall	7/1/2015 0:08	7/1/2015 0:09	190	28
1870305884-Overall	7/1/2015 0:09	7/1/2015 0:10	190	28
1949724277-Overall	7/1/2015 0:09	7/1/2015 0:10	343	25
908983910-Overall	7/1/2015 0:09	7/1/2015 0:10	58	22
1454442161-Overall	7/1/2015 0:09	7/1/2015 0:10	157	21
1951210032-Overall	7/1/2015 0:09	7/1/2015 0:10	992	39
331804188-Overall	7/1/2015 0:09	7/1/2015 0:10	337	32
167203295-Overall	7/1/2015 0:09	7/1/2015 0:10	916	29
77863289-Overall	7/1/2015 0:09	7/1/2015 0:10	93	36
1275104184-Overall	7/1/2015 0:09	7/1/2015 0:10	44	35
1741156914-Overall	7/1/2015 0:09	7/1/2015 0:10	338	24
687157380-Overall	7/1/2015 0:09	7/1/2015 0:10	854	23
1144586020-Overall	7/1/2015 0:09	7/1/2015 0:10	653	38
782435385-Overall	7/1/2015 0:09	7/1/2015 0:10	2359	37
782435385-Overall	7/1/2015 0:10	7/1/2015 0:11	2360	37
1144586020-Overall	7/1/2015 0:10	7/1/2015 0:11	652	38
1951210032-Overall	7/1/2015 0:10	7/1/2015 0:11	992	39
1949724277-Overall	7/1/2015 0:10	7/1/2015 0:11	322	25
1870305884-Overall	7/1/2015 0:10	7/1/2015 0:11	189	28
1454442161-Overall	7/1/2015 0:10	7/1/2015 0:11	151	21
908983910-Overall	7/1/2015 0:10	7/1/2015 0:11	59	22
687157380-Overall	7/1/2015 0:10	7/1/2015 0:11	851	23
1741156914-Overall	7/1/2015 0:10	7/1/2015 0:11	330	24
167203295-Overall	7/1/2015 0:10	7/1/2015 0:11	801	29
331804188-Overall	7/1/2015 0:10	7/1/2015 0:11	338	32
1275104184-Overall	7/1/2015 0:10	7/1/2015 0:11	1283	35
77863289-Overall	7/1/2015 0:10	7/1/2015 0:11	89	36
77863289-Overall	7/1/2015 0:11	7/1/2015 0:12	89	36
1275104184-Overall	7/1/2015 0:11	7/1/2015 0:12	3037	35
